A	B	C	domain;phylum;class;order;family;genus;species
8	17	0	Eukaryota;Metazoa;Unclassified_c;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Unclassified_c;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	11	Bacteria;Proteobacteria;Unclassified_c;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	4	Bacteria;Proteobacteria;Unclassified_c;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	4	Bacteria;Proteobacteria;Unclassified_c;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	5	0	Bacteria;Proteobacteria;Unclassified_c;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	6	0	Eukaryota;Metazoa;Unclassified_c;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Cyanobacteria;Chroobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	5	0	Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Bacteroidetes;Cytophagia;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	18	Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	5	0	Eukaryota;Metazoa;Chordata;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	5	0	Eukaryota;Metazoa;Arthropoda;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
6	0	0	Eukaryota;Metazoa;Chordata;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
2	0	0	Bacteria;Tenericutes;Mollicutes;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	2	0	Eukaryota;Metazoa;Arthropoda;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	2	0	Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	3	Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	18	0	Eukaryota;Metazoa;Arthropoda;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Gammaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	4	Eukaryota;Metazoa;Arthropoda;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Alphaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
0	2	0	Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified_o;Unclassified_f;Unclassified_g;Unclassified_s
11	8	0	Eukaryota;Metazoa;Arthropoda;Insecta;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobulbaceae_o;Unclassified_f;Unclassified_g;Unclassified_s
7	0	0	Bacteria;Tenericutes;Mollicutes;GU196243_o;Unclassified_f;Unclassified_g;Unclassified_s
2	0	0	Bacteria;Tenericutes;Mollicutes;GU196243_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	6	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Unclassified_f;Unclassified_g;Unclassified_s
5	0	0	Bacteria;Tenericutes;Mollicutes;GU196243_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	5	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobulbaceae_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Cyanobacteria;Chroobacteria;Oscillatoriales;Unclassified_f;Unclassified_g;Unclassified_s
0	0	5	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Unclassified_f;Unclassified_g;Unclassified_s
7	0	0	Eukaryota;Metazoa;Arthropoda;Insecta;Unclassified_f;Unclassified_g;Unclassified_s
6	0	0	Bacteria;Tenericutes;Mollicutes;GU196243_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	20	Bacteria;Parcubacteria_OD1;Paceibacter_c;EU245687_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	8	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobulbaceae_o;Unclassified_f;Unclassified_g;Unclassified_s
0	5	0	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Unclassified_f;Unclassified_g;Unclassified_s
0	0	4	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Unclassified_f;Unclassified_g;Unclassified_s
0	0	4	Bacteria;Cyanobacteria;Chroobacteria;Oscillatoriales;Unclassified_f;Unclassified_g;Unclassified_s
3	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobulbaceae_o;Unclassified_f;Unclassified_g;Unclassified_s
0	0	8	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Unclassified_f;Unclassified_g;Unclassified_s
0	0	2	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Unclassified_f;Unclassified_g;Unclassified_s
6	0	0	Bacteria;Tenericutes;Mollicutes;GU196243_o;Unclassified_f;Unclassified_g;Unclassified_s
